"","LOCID","LOCAL_INTERVAL_TIME","KWH","DTE","HR"
"114","000018594EL000","2017-01-02 04:15:00.0",0.06,"2017/01/02","04:15"
"115","000018594EL000","2017-01-02 04:30:00.0",0.078,"2017/01/02","04:30"
"116","000018594EL000","2017-01-02 04:45:00.0",0.057,"2017/01/02","04:45"
"117","000018594EL000","2017-01-02 05:00:00.0",0.09,"2017/01/02","05:00"
"118","000018594EL000","2017-01-02 05:15:00.0",0.107,"2017/01/02","05:15"
"119","000018594EL000","2017-01-02 05:30:00.0",0.042,"2017/01/02","05:30"
"120","000018594EL000","2017-01-02 05:45:00.0",0.052,"2017/01/02","05:45"
"121","000018594EL000","2017-01-02 06:00:00.0",0.102,"2017/01/02","06:00"
"122","000018594EL000","2017-01-02 06:15:00.0",0.064,"2017/01/02","06:15"
"123","000018594EL000","2017-01-02 06:30:00.0",0.068,"2017/01/02","06:30"
"124","000018594EL000","2017-01-02 06:45:00.0",0.081,"2017/01/02","06:45"
"125","000018594EL000","2017-01-02 07:00:00.0",0.052,"2017/01/02","07:00"
"126","000018594EL000","2017-01-02 07:15:00.0",0.072,"2017/01/02","07:15"
"127","000018594EL000","2017-01-02 07:30:00.0",0.025,"2017/01/02","07:30"
"128","000018594EL000","2017-01-02 07:45:00.0",0.044,"2017/01/02","07:45"
"129","000018594EL000","2017-01-02 08:00:00.0",0.081,"2017/01/02","08:00"
"130","000018594EL000","2017-01-02 08:15:00.0",0.081,"2017/01/02","08:15"
"131","000018594EL000","2017-01-02 08:30:00.0",0.067,"2017/01/02","08:30"
"132","000018594EL000","2017-01-02 08:45:00.0",0.062,"2017/01/02","08:45"
"133","000018594EL000","2017-01-02 09:00:00.0",0.101,"2017/01/02","09:00"
"134","000018594EL000","2017-01-02 09:15:00.0",0.272,"2017/01/02","09:15"
"135","000018594EL000","2017-01-02 09:30:00.0",0.413,"2017/01/02","09:30"
"136","000018594EL000","2017-01-02 09:45:00.0",0.341,"2017/01/02","09:45"
"137","000018594EL000","2017-01-02 10:00:00.0",0.217,"2017/01/02","10:00"
"138","000018594EL000","2017-01-02 10:15:00.0",0.108,"2017/01/02","10:15"
"139","000018594EL000","2017-01-02 10:30:00.0",0.056,"2017/01/02","10:30"
"140","000018594EL000","2017-01-02 10:45:00.0",0.209,"2017/01/02","10:45"
"141","000018594EL000","2017-01-02 11:00:00.0",0.361,"2017/01/02","11:00"
"142","000018594EL000","2017-01-02 11:15:00.0",0.123,"2017/01/02","11:15"
"143","000018594EL000","2017-01-02 11:30:00.0",0.068,"2017/01/02","11:30"
"144","000018594EL000","2017-01-02 11:45:00.0",0.066,"2017/01/02","11:45"
"145","000018594EL000","2017-01-02 12:00:00.0",0.108,"2017/01/02","12:00"
"146","000018594EL000","2017-01-02 12:15:00.0",0.15,"2017/01/02","12:15"
"147","000018594EL000","2017-01-02 12:30:00.0",0.071,"2017/01/02","12:30"
"148","000018594EL000","2017-01-02 12:45:00.0",0.066,"2017/01/02","12:45"
"149","000018594EL000","2017-01-02 13:00:00.0",0.067,"2017/01/02","13:00"
"150","000018594EL000","2017-01-02 13:15:00.0",0.203,"2017/01/02","13:15"
"151","000018594EL000","2017-01-02 13:30:00.0",0.014,"2017/01/02","13:30"
"152","000018594EL000","2017-01-02 13:45:00.0",0.104,"2017/01/02","13:45"
"153","000018594EL000","2017-01-02 14:00:00.0",0.045,"2017/01/02","14:00"
"154","000018594EL000","2017-01-02 14:15:00.0",0.065,"2017/01/02","14:15"
"155","000018594EL000","2017-01-02 14:30:00.0",0.056,"2017/01/02","14:30"
"156","000018594EL000","2017-01-02 14:45:00.0",0.067,"2017/01/02","14:45"
"157","000018594EL000","2017-01-02 15:00:00.0",0.017,"2017/01/02","15:00"
"158","000018594EL000","2017-01-02 15:15:00.0",0.511,"2017/01/02","15:15"
"159","000018594EL000","2017-01-02 15:30:00.0",0.266,"2017/01/02","15:30"
"160","000018594EL000","2017-01-02 15:45:00.0",0.296,"2017/01/02","15:45"
"161","000018594EL000","2017-01-02 16:00:00.0",0.249,"2017/01/02","16:00"
"162","000018594EL000","2017-01-02 16:15:00.0",0.154,"2017/01/02","16:15"
"163","000018594EL000","2017-01-02 16:30:00.0",0.276,"2017/01/02","16:30"
"164","000018594EL000","2017-01-02 16:45:00.0",0.162,"2017/01/02","16:45"
"165","000018594EL000","2017-01-02 17:00:00.0",0.182,"2017/01/02","17:00"
"166","000018594EL000","2017-01-02 17:15:00.0",0.174,"2017/01/02","17:15"
"167","000018594EL000","2017-01-02 17:30:00.0",0.212,"2017/01/02","17:30"
"168","000018594EL000","2017-01-02 17:45:00.0",0.155,"2017/01/02","17:45"
"169","000018594EL000","2017-01-02 18:00:00.0",0.12,"2017/01/02","18:00"
"170","000018594EL000","2017-01-02 18:15:00.0",0.057,"2017/01/02","18:15"
"171","000018594EL000","2017-01-02 18:30:00.0",0.075,"2017/01/02","18:30"
"172","000018594EL000","2017-01-02 18:45:00.0",0.062,"2017/01/02","18:45"
"173","000018594EL000","2017-01-02 19:00:00.0",0.106,"2017/01/02","19:00"
"174","000018594EL000","2017-01-02 19:15:00.0",0.082,"2017/01/02","19:15"
"175","000018594EL000","2017-01-02 19:30:00.0",0.134,"2017/01/02","19:30"
"176","000018594EL000","2017-01-02 19:45:00.0",0.118,"2017/01/02","19:45"
"177","000018594EL000","2017-01-02 20:00:00.0",0.11,"2017/01/02","20:00"
"178","000018594EL000","2017-01-02 20:15:00.0",0.23,"2017/01/02","20:15"
"179","000018594EL000","2017-01-02 20:30:00.0",0.137,"2017/01/02","20:30"
"180","000018594EL000","2017-01-02 20:45:00.0",0.196,"2017/01/02","20:45"
"181","000018594EL000","2017-01-02 21:00:00.0",0.049,"2017/01/02","21:00"
"182","000018594EL000","2017-01-02 21:15:00.0",0.115,"2017/01/02","21:15"
"183","000018594EL000","2017-01-02 21:30:00.0",0.121,"2017/01/02","21:30"
"184","000018594EL000","2017-01-02 21:45:00.0",0.401,"2017/01/02","21:45"
"185","000018594EL000","2017-01-02 22:00:00.0",0.244,"2017/01/02","22:00"
"186","000018594EL000","2017-01-02 22:15:00.0",0.065,"2017/01/02","22:15"
"187","000018594EL000","2017-01-02 22:30:00.0",0.031,"2017/01/02","22:30"
"188","000018594EL000","2017-01-02 22:45:00.0",0.044,"2017/01/02","22:45"
"189","000018594EL000","2017-01-02 23:00:00.0",0.029,"2017/01/02","23:00"
"190","000018594EL000","2017-01-02 23:15:00.0",0.043,"2017/01/02","23:15"
"191","000018594EL000","2017-01-02 23:30:00.0",0.09,"2017/01/02","23:30"
"192","000018594EL000","2017-01-02 23:45:00.0",0.097,"2017/01/02","23:45"
"193","000018594EL000","2017-01-03 00:00:00.0",0.091,"2017/01/03","00:00"
"194","000018594EL000","2017-01-03 00:15:00.0",0.097,"2017/01/03","00:15"
"195","000018594EL000","2017-01-03 00:30:00.0",0.07,"2017/01/03","00:30"
"196","000018594EL000","2017-01-03 00:45:00.0",0.065,"2017/01/03","00:45"
"197","000018594EL000","2017-01-03 01:00:00.0",0.045,"2017/01/03","01:00"
"198","000018594EL000","2017-01-03 01:15:00.0",0.058,"2017/01/03","01:15"
"199","000018594EL000","2017-01-03 01:30:00.0",0.067,"2017/01/03","01:30"
"200","000018594EL000","2017-01-03 01:45:00.0",0.097,"2017/01/03","01:45"
"201","000018594EL000","2017-01-03 02:00:00.0",0.07,"2017/01/03","02:00"
"202","000018594EL000","2017-01-03 02:15:00.0",0.087,"2017/01/03","02:15"
"203","000018594EL000","2017-01-03 02:30:00.0",0.066,"2017/01/03","02:30"
"204","000018594EL000","2017-01-03 02:45:00.0",0.071,"2017/01/03","02:45"
"205","000018594EL000","2017-01-03 03:00:00.0",0.034,"2017/01/03","03:00"
"206","000018594EL000","2017-01-03 03:15:00.0",0.054,"2017/01/03","03:15"
"207","000018594EL000","2017-01-03 03:30:00.0",0.035,"2017/01/03","03:30"
"208","000018594EL000","2017-01-03 03:45:00.0",0.116,"2017/01/03","03:45"
"209","000018594EL000","2017-01-03 04:00:00.0",0.082,"2017/01/03","04:00"
"210","000018594EL000","2017-01-03 04:15:00.0",0.089,"2017/01/03","04:15"
"211","000018594EL000","2017-01-03 04:30:00.0",0.064,"2017/01/03","04:30"
"212","000018594EL000","2017-01-03 04:45:00.0",0.067,"2017/01/03","04:45"
"213","000018594EL000","2017-01-03 05:00:00.0",0.033,"2017/01/03","05:00"
"214","000018594EL000","2017-01-03 05:15:00.0",0.054,"2017/01/03","05:15"
"215","000018594EL000","2017-01-03 05:30:00.0",0.029,"2017/01/03","05:30"
"216","000018594EL000","2017-01-03 05:45:00.0",0.09,"2017/01/03","05:45"
"217","000018594EL000","2017-01-03 06:00:00.0",0.062,"2017/01/03","06:00"
"218","000018594EL000","2017-01-03 06:15:00.0",0.077,"2017/01/03","06:15"
"219","000018594EL000","2017-01-03 06:30:00.0",0.052,"2017/01/03","06:30"
"220","000018594EL000","2017-01-03 06:45:00.0",0.067,"2017/01/03","06:45"
"221","000018594EL000","2017-01-03 07:00:00.0",0.03,"2017/01/03","07:00"
"222","000018594EL000","2017-01-03 07:15:00.0",0.039,"2017/01/03","07:15"
"223","000018594EL000","2017-01-03 07:30:00.0",0.023,"2017/01/03","07:30"
"224","000018594EL000","2017-01-03 07:45:00.0",0.096,"2017/01/03","07:45"
"225","000018594EL000","2017-01-03 08:00:00.0",0.51,"2017/01/03","08:00"
"226","000018594EL000","2017-01-03 08:15:00.0",0.086,"2017/01/03","08:15"
"227","000018594EL000","2017-01-03 08:30:00.0",0.063,"2017/01/03","08:30"
"228","000018594EL000","2017-01-03 08:45:00.0",0.069,"2017/01/03","08:45"
"229","000018594EL000","2017-01-03 09:00:00.0",0.032,"2017/01/03","09:00"
"230","000018594EL000","2017-01-03 09:15:00.0",0.04,"2017/01/03","09:15"
"231","000018594EL000","2017-01-03 09:30:00.0",0.046,"2017/01/03","09:30"
"232","000018594EL000","2017-01-03 09:45:00.0",0.077,"2017/01/03","09:45"
"233","000018594EL000","2017-01-03 10:00:00.0",0.07,"2017/01/03","10:00"
"234","000018594EL000","2017-01-03 10:15:00.0",0.077,"2017/01/03","10:15"
"235","000018594EL000","2017-01-03 10:30:00.0",0.058,"2017/01/03","10:30"
"236","000018594EL000","2017-01-03 10:45:00.0",0.061,"2017/01/03","10:45"
"237","000018594EL000","2017-01-03 11:00:00.0",0.052,"2017/01/03","11:00"
"238","000018594EL000","2017-01-03 11:15:00.0",0.088,"2017/01/03","11:15"
"239","000018594EL000","2017-01-03 11:30:00.0",0.062,"2017/01/03","11:30"
"240","000018594EL000","2017-01-03 11:45:00.0",0.053,"2017/01/03","11:45"
"241","000018594EL000","2017-01-03 12:00:00.0",0.08,"2017/01/03","12:00"
"242","000018594EL000","2017-01-03 12:15:00.0",0.077,"2017/01/03","12:15"
"243","000018594EL000","2017-01-03 12:30:00.0",0.099,"2017/01/03","12:30"
"244","000018594EL000","2017-01-03 12:45:00.0",0.121,"2017/01/03","12:45"
"245","000018594EL000","2017-01-03 13:00:00.0",0.074,"2017/01/03","13:00"
"246","000018594EL000","2017-01-03 13:15:00.0",0.083,"2017/01/03","13:15"
"247","000018594EL000","2017-01-03 13:30:00.0",0.048,"2017/01/03","13:30"
"248","000018594EL000","2017-01-03 13:45:00.0",0.065,"2017/01/03","13:45"
"249","000018594EL000","2017-01-03 14:00:00.0",0.025,"2017/01/03","14:00"
"250","000018594EL000","2017-01-03 14:15:00.0",0.098,"2017/01/03","14:15"
"251","000018594EL000","2017-01-03 14:30:00.0",0.059,"2017/01/03","14:30"
"252","000018594EL000","2017-01-03 14:45:00.0",0.087,"2017/01/03","14:45"
"253","000018594EL000","2017-01-03 15:00:00.0",0.047,"2017/01/03","15:00"
"254","000018594EL000","2017-01-03 15:15:00.0",0.057,"2017/01/03","15:15"
"255","000018594EL000","2017-01-03 15:30:00.0",0.025,"2017/01/03","15:30"
"256","000018594EL000","2017-01-03 15:45:00.0",0.054,"2017/01/03","15:45"
"257","000018594EL000","2017-01-03 16:00:00.0",0.025,"2017/01/03","16:00"
"258","000018594EL000","2017-01-03 16:15:00.0",0.07,"2017/01/03","16:15"
"259","000018594EL000","2017-01-03 16:30:00.0",0.08,"2017/01/03","16:30"
"260","000018594EL000","2017-01-03 16:45:00.0",0.098,"2017/01/03","16:45"
"261","000018594EL000","2017-01-03 17:00:00.0",0.053,"2017/01/03","17:00"
"262","000018594EL000","2017-01-03 17:15:00.0",0.069,"2017/01/03","17:15"
"263","000018594EL000","2017-01-03 17:30:00.0",0.036,"2017/01/03","17:30"
"264","000018594EL000","2017-01-03 17:45:00.0",0.067,"2017/01/03","17:45"
"265","000018594EL000","2017-01-03 18:00:00.0",0.182,"2017/01/03","18:00"
"266","000018594EL000","2017-01-03 18:15:00.0",0.815,"2017/01/03","18:15"
"267","000018594EL000","2017-01-03 18:30:00.0",0.136,"2017/01/03","18:30"
"268","000018594EL000","2017-01-03 18:45:00.0",0.068,"2017/01/03","18:45"
"269","000018594EL000","2017-01-03 19:00:00.0",0.127,"2017/01/03","19:00"
"270","000018594EL000","2017-01-03 19:15:00.0",0.174,"2017/01/03","19:15"
"271","000018594EL000","2017-01-03 19:30:00.0",0.307,"2017/01/03","19:30"
"272","000018594EL000","2017-01-03 19:45:00.0",0.075,"2017/01/03","19:45"
"273","000018594EL000","2017-01-03 20:00:00.0",0.096,"2017/01/03","20:00"
"274","000018594EL000","2017-01-03 20:15:00.0",0.081,"2017/01/03","20:15"
"275","000018594EL000","2017-01-03 20:30:00.0",0.225,"2017/01/03","20:30"
"276","000018594EL000","2017-01-03 20:45:00.0",0.062,"2017/01/03","20:45"
"277","000018594EL000","2017-01-03 21:00:00.0",0.088,"2017/01/03","21:00"
"278","000018594EL000","2017-01-03 21:15:00.0",0.052,"2017/01/03","21:15"
"279","000018594EL000","2017-01-03 21:30:00.0",0.408,"2017/01/03","21:30"
"280","000018594EL000","2017-01-03 21:45:00.0",0.309,"2017/01/03","21:45"
"281","000018594EL000","2017-01-03 22:00:00.0",0.101,"2017/01/03","22:00"
"282","000018594EL000","2017-01-03 22:15:00.0",0.076,"2017/01/03","22:15"
"283","000018594EL000","2017-01-03 22:30:00.0",0.059,"2017/01/03","22:30"
"284","000018594EL000","2017-01-03 22:45:00.0",0.059,"2017/01/03","22:45"
"285","000018594EL000","2017-01-03 23:00:00.0",0.051,"2017/01/03","23:00"
"286","000018594EL000","2017-01-03 23:15:00.0",0.073,"2017/01/03","23:15"
"287","000018594EL000","2017-01-03 23:30:00.0",0.068,"2017/01/03","23:30"
"288","000018594EL000","2017-01-03 23:45:00.0",0.076,"2017/01/03","23:45"
"289","000018594EL000","2017-01-04 00:00:00.0",0.046,"2017/01/04","00:00"
"290","000018594EL000","2017-01-04 00:15:00.0",0.052,"2017/01/04","00:15"
"291","000018594EL000","2017-01-04 00:30:00.0",0.026,"2017/01/04","00:30"
"292","000018594EL000","2017-01-04 00:45:00.0",0.052,"2017/01/04","00:45"
"293","000018594EL000","2017-01-04 01:00:00.0",0.025,"2017/01/04","01:00"
"294","000018594EL000","2017-01-04 01:15:00.0",0.087,"2017/01/04","01:15"
"295","000018594EL000","2017-01-04 01:30:00.0",0.117,"2017/01/04","01:30"
"296","000018594EL000","2017-01-04 01:45:00.0",0.099,"2017/01/04","01:45"
"297","000018594EL000","2017-01-04 02:00:00.0",0.096,"2017/01/04","02:00"
"298","000018594EL000","2017-01-04 02:15:00.0",0.077,"2017/01/04","02:15"
"299","000018594EL000","2017-01-04 02:30:00.0",0.047,"2017/01/04","02:30"
"300","000018594EL000","2017-01-04 02:45:00.0",0.03,"2017/01/04","02:45"
"301","000018594EL000","2017-01-04 03:00:00.0",0.055,"2017/01/04","03:00"
"302","000018594EL000","2017-01-04 03:15:00.0",0.023,"2017/01/04","03:15"
"303","000018594EL000","2017-01-04 03:30:00.0",0.052,"2017/01/04","03:30"
"304","000018594EL000","2017-01-04 03:45:00.0",0.03,"2017/01/04","03:45"
"305","000018594EL000","2017-01-04 04:00:00.0",0.088,"2017/01/04","04:00"
"306","000018594EL000","2017-01-04 04:15:00.0",0.071,"2017/01/04","04:15"
"307","000018594EL000","2017-01-04 04:30:00.0",0.075,"2017/01/04","04:30"
"308","000018594EL000","2017-01-04 04:45:00.0",0.063,"2017/01/04","04:45"
"309","000018594EL000","2017-01-04 05:00:00.0",0.075,"2017/01/04","05:00"
"310","000018594EL000","2017-01-04 05:15:00.0",0.067,"2017/01/04","05:15"
"311","000018594EL000","2017-01-04 05:30:00.0",0.056,"2017/01/04","05:30"
"312","000018594EL000","2017-01-04 05:45:00.0",0.04,"2017/01/04","05:45"
"313","000018594EL000","2017-01-04 06:00:00.0",0.035,"2017/01/04","06:00"
"314","000018594EL000","2017-01-04 06:15:00.0",0.044,"2017/01/04","06:15"
"315","000018594EL000","2017-01-04 06:30:00.0",0.085,"2017/01/04","06:30"
"316","000018594EL000","2017-01-04 06:45:00.0",0.075,"2017/01/04","06:45"
"317","000018594EL000","2017-01-04 07:00:00.0",0.065,"2017/01/04","07:00"
"318","000018594EL000","2017-01-04 07:15:00.0",0.064,"2017/01/04","07:15"
"319","000018594EL000","2017-01-04 07:30:00.0",0.033,"2017/01/04","07:30"
"320","000018594EL000","2017-01-04 07:45:00.0",0.09,"2017/01/04","07:45"
"321","000018594EL000","2017-01-04 08:00:00.0",0.049,"2017/01/04","08:00"
"322","000018594EL000","2017-01-04 08:15:00.0",0.024,"2017/01/04","08:15"
"323","000018594EL000","2017-01-04 08:30:00.0",0.086,"2017/01/04","08:30"
"324","000018594EL000","2017-01-04 08:45:00.0",0.076,"2017/01/04","08:45"
"325","000018594EL000","2017-01-04 09:00:00.0",0.071,"2017/01/04","09:00"
"326","000018594EL000","2017-01-04 09:15:00.0",0.051,"2017/01/04","09:15"
"327","000018594EL000","2017-01-04 09:30:00.0",0.04,"2017/01/04","09:30"
"328","000018594EL000","2017-01-04 09:45:00.0",0.034,"2017/01/04","09:45"
"329","000018594EL000","2017-01-04 10:00:00.0",0.062,"2017/01/04","10:00"
"330","000018594EL000","2017-01-04 10:15:00.0",0.054,"2017/01/04","10:15"
"331","000018594EL000","2017-01-04 10:30:00.0",0.05,"2017/01/04","10:30"
